idx   filename   boiling_point   iupac_name
1   molecule001.ct   -164.0   methane   
2   molecule002.ct   -88.60   ethane
3   molecule003.ct   -42.10   propane
4   molecule004.ct   -11.70   2-methylpropane
5   molecule005.ct   -0.50   butane
6   molecule006.ct   9.50   2,2-dimethylpropane
7   molecule007.ct   27.80   2-methylbutane
8   molecule008.ct   36.10   pentane
9   molecule009.ct   49.70   2,2-dimethylbutane
10   molecule010.ct   58.00   2,3-dimethylbutane
11   molecule011.ct   60.30   2-methylpentane
13   molecule013.ct   69.00   hexane
14   molecule014.ct   80.90   2,2,3-trimethylbutane
15   molecule015.ct   79.20   2,2-dimethylpentane
19   molecule019.ct   90.00   2-methylhexane
20   molecule020.ct   92.00   3-methylhexane
21   molecule021.ct   93.50   3-ethylpentane
22   molecule022.ct   98.40   heptane
23   molecule023.ct   106.50   2,2,3,3-tetramethylbutane
24   molecule024.ct   110.00   2,2,3-trimethylpentane
31   molecule031.ct   115.60   2,3-dimethylhexane
36   molecule036.ct   117.60   2-methylheptane
39   molecule039.ct   118.50   3-ethylhexane
40   molecule040.ct   125.70   octane
41   molecule041.ct   140.27   2,2,3,3-tetramethylpentane
43   molecule043.ct   131.70   2,2,3-trimethylhexane
48   molecule048.ct   141.60   2,3-dimethyl-3-ethylpentane
56   molecule056.ct   140.60   3-ethyl-3-methylhexane
57   molecule057.ct   146.20   3,3-diethylpentane
59   molecule059.ct   136.73   2,4-dimethyl-3-ethylpentane
72   molecule072.ct   142.40   4-methyloctane
73   molecule073.ct   143.00   3-ethylheptane
77   molecule077.ct   158.00   2,2,3,3-tetramethylhexane
99   molecule099.ct   147.70   2,2,4-trimethylheptane
